Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,customerID
Month-to-month,No, Electronic check  ,No,Monthly,No,Yes,0258-NOKBL
Two year,No,Electronic check,No,Monthly,Yes,Yes,1163-VIPRI
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,2815-CPTUL
Two year,No,Credit card (automatic),No,Monthly,No, Yes  ,9348-ROUAI
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,9443-JUBUO
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,0596-BQCEQ
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,1481-ZUWZA
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,3043-TYBNO
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,4830-FAXFM
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,5906-BFOZT
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,2960-NKRSO
One year,Yes,Electronic check,No,Quarter,No,Yes,
Two year,No,Credit card (automatic),Yes,Monthly,No,Yes,5598-IKHQQ
Two year,No,Bank transfer (automatic),Yes,Monthly,No,Yes,0397-ZXWQF
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5266-PFRQK
Two year,No,Credit card (automatic),No,Annual,,Yes,4674-HGNUA
One year,No,Mailed check,No,Monthly,No,Yes,6765-MBQNU
Two year,,Mailed check,No,Monthly,No,Yes,9786-IJYDL
Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,ORPH-9ab4bb62
Two year,No,Mailed check,No,Monthly,No,Yes,3769-MHZNV
Two year,Yes,Electronic check,Yes,Monthly,Yes,Yes,6295-OSINB
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,3308-MHOOC
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,2309-OSFEU
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes, 2207-QPJED  
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,4177-JPDFU
One year,No,Mailed check,No,Quarter,Yes,Yes,2239-CFOUJ
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,8046-DNVTL
Month-to-month,No,Bank transfer (automatic),No,Monthly,Yes,No,2209-XADXF
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,6620-JDYNW
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,1891-FZYSA
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,4770-UEZOX
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,1038-RQOST
Month-to-month,Yes,Electronic check,No,Monthly,No,No,7613-LLQFO
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,4568-TTZRT
One year,No,Electronic check,Yes,Annual,Yes,Yes,9513-DXHDA
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,2640-PMGFL
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,3801-HMYNL
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,0516-QREYC
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9685-WKZGT
one year,Yes,Electronic check,Yes,Monthly,No,Yes,6022-UGGSO
One year,No,Mailed check,No,Quarter,No,No,8084-OIVBS
Month-to-month,Yes,Mailed check,No,Monthly,Yes,No,8896-BQTTI
Month-to-month,Yes,Mailed check,No,Monthly,No,Yes,3865-QBWSJ
Two year,No,Mailed check,No,Semiann,No,No,3352-RICWQ
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,2160-GPFXD
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,2065-MMKGR
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,ORPH-4024ba6c
Two year,Yes,Electronic check,No,Semiann,Yes,Yes,1498-NHTLT
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,4484-CGXFK
One year,Yes,Mailed check,YeL,Quarter,Yes,Yes,1402-PTHGN
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,ORPH-f84a98d0
Month-to-month,No,Electronic check,Yes,Monthly,No,No,6214-EDAKZ
One year,No,Credit card (automatic),No,Monthly,Yes,,5199-FPUSP
Month-to-month,No,Mailed check,No,Monthly,No,Yes,6377-KSLXC
Month-to-month,No,Mailed check, Yes  ,Monthly,Yes,Yes,1796-JANOW
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,0238-WHBIQ
Month-to-month,No,Mailed check,No,Monthly,No,No,8735-NBLWT
Two year,No,Mailed check,No,Semiann,Yes,Yes,6651-RLGGM
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,ORPH-bf77c293
Month-to-month,Yes,Mailed check,No,Monthly,No,No,ORPH-99db97e5
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,8740-XLHDR
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,1208-DNHLN
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,1761-AEZZR
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,3923-CSIHK
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,UNK-b32b9355
Two year,Yes,Bank transfer (automatic),Yes,Annual,Yes,Yes,5795-KTGUD
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,7120-RFMVS
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,7924-GJZFI
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,4702-HDRKD
One year,No,Credit card (automatic),Yes,Monthly,No,Yes,8512-WIWYV
One year,Yes,Electronic check,No,Monthly,No,Yes,5897-ZYEKH
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5456-ITGIC
Two year,Yes,Credit card (automatic),Yes,Monthly,No,Yes,7317-GGVPB
 Month-to-month  ,Yes,Electronic check,Yes,Monthly,Yes,No,1406-PUQVY
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,Yes,1322-AGOQM
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,3677-IYRBF
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,5692-FPTAH
One year,Yes,Electronic check,No,Monthly,Yes,No,9114-AAFQH
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,8715-KKTFG
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,1550-LOAHA
Month-to-month,No,Electronic check,Yes,Monthly,No,No,1728-BQDMA
Month-to-month,No,Electronic check,Yes,Monthly,,Yes,0268-QKIWO
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,0876-WDUUZ
Two year,No,Bank transfer (automatic),Yes,Semiann,Yes,Yes,5117-ZSMHQ
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,5151-HQRDG
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes, 0960-HUWBM  
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,6465-GSRCL
Month-to-month,No,Credit card (automatic),No,quarter,No,Yes, 0617-FHSGK  
Two year,Yes,Credit card (automatic), No  ,Monthly,Yes,Yes,0263-FJTQO
One year,No,Electronic check,No,Monthly,Yes,Yes,7319-ZNRTR
One year,Yes,Mailed check,No, Monthly  ,Yes,Yes,2858-MOFSQ
Two year,Yes,Mailed check,Yes,Annual,Yes,Yes,7503-EPSZW
One year,Yes,Credit card (automatic),Yes,Monthly,Yes, Yes  ,7089-XXAYG
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,8118-LSUEL
Month-to-month,No,Mailed check,No,Monthly,No,Yes,8070-AAWZP
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,1666-JXLKU
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,7855-DIWPO
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,5133-POWUA
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,5652-MSDEY
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,7005-CCBKV
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,1810-BOHSY
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,1784-BXEFA
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,Yes,7351-MHQVU
Two year,Yes,Mailed check,No,Monthly,No,Yes,9224-VTYID
One year,,Electronic check,Yes,Monthly,Yes,Yes, 9500-IWPXQ  
Two year,,Bank transfer (automatic),No,Monthly,Yes,Yes,5762-TJXGK
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,4504-YOULA
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,5569-IDSEY
Month-to-month,No,Electronic check,Yes,Monthly,No,No,4250-FDVOU
Two year,No,Credit card (automatic),No,Quarter,Yes,Yes,7284-ZZLOH
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,5277-ZLOOR
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,No,2141-RRYGO
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,1777-JYQPJ
Month-to-month,No,Electronic check,,Monthly,No,Yes,6376-GAHQE
One year,No,Credit card (automatic),Yes,Quarter,No,Yes,3401-URHDA
One year,No,Credit card (automatic),No,Monthly,Yes,Yes,1599-EAHXY
One year,Yes,Mailed check,Yes,Monthly,Yes,No,8631-XVRZL
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,5052-PNLOS
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,3853-LYGAM
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,6979-ZNSFF
Two year,No,Mailed check,Yes,Quarter,No,Yes,5751-USDBL
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5680-LQOGP
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,2386-LAHRK
One year,No,Bank transfer (automatic),No,Monthly,No,No,8189-DUKMV
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,6032-IGALN
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,9931-DCEZH
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,1898-JSNDC
Month-to-month,No,Electronic check,No,Monthly,No,No,0315-LVCRK
Two year,Yes,Credit card (automatic),Yes,Monthly,No,Yes,3911-RSNHI
Month-to-month,No,bank transfer (automatic),Yes,Monthly,No,Yes,2410-CIYFZ
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,4248-HCETZ
One year,No,Mailed check,Yss,Quarter,Yes,Yes,5505-OVWQW
Month-to-month, Yes  ,Credit card (automatic),Yes,Monthly,Yes,Yes,7271-AJDTL
Month-to-month,Yes,Bank transfer (automatic),No,Monthly,No,Yes,1867-TJHTS
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,0516-WJVXC
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,,9174-FKWZE
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,6860-YRJZP
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,No,4429-WYGFR
Two year,No,Credit card (automatic), Yes  ,Monthly,Yes,Yes,2817-LVCPP
Two year,Yes,Bank transfer (automatic),No,Quarter,No,Yes,5038-ETMLM
One year,yes,Credit card (automatic),No,Monthly,Yes,Yes,5056-FIMPT
Two year,,Bank transfer (automatic),No,Monthly,Yes,Yes,4521-WFJAI
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,6569-KTMDU
Two year,Yes,Electronic check,Yes,Semiann,Yes,Yes,8809-RIHDD
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,8809-XKHMD
Month-to-month,Yes,Electronic check,,Monthly,Yes,Yes,0396-YCHWO
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,0867-LDTTC
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,4822-NGOCH
One year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,9391-DXGGG
One year,Yes,Electronic check,No,Monthly,Yes,Yes,9844-FELAJ
One year,No,Credit card (automatic),No,Semiann,Yes,Yes,2122-SZZZD
Month-to-month,Yes,Credit card (automatic),Yes,MONTHLY ,No,No,5307-DZCVC
Two year,Yes,Credit card (automatic),Yes, Monthly  ,Yes,Yes,3148-AOIQT
Month-to-month,No,Electronic check,No,Monthly,No,No,8679-JOEVF
One year,No,Bank transfer (automatic),Yes,Monthly,No,Yes,8395-ETZKQ
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,6692-YQHXC
Two year,No,Bank transfer (automatic),Yes,Quarter,Yes,Yes,3889-VWBID
Month-to-month,No,Mailed check,No,Monthly,No,Yes,5222-JCXZT
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,Yes,9754-CLVZW
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,1432-FPAXX
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,No,2739-CCZMB
One year,Yes,Bank transfer (automatic),,Annual,No,Yes,7080-TNUWP
One year,No,Bank transfer (automatic),No,Semiann,Yes,No,0496-AHOOK
Two year,No,Bank transfer (automatic),No,Monthly,No,Yes,8336-TAVKX
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,2468-SJFLM
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3181-VTHOE
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7168-HDQHG
,Yes,Electronic check,Yes,Monthly,Yes,Yes,4803-AXVYP
Month-to-month,Yes,Electronic check,,Monthly,Yes,No,3884-HCSWG
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4567-AKPIA
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,5077-DXTCG
Month-to-month,NO ,Bank transfer (automatic),Yes,Monthly, Yes  ,Yes,1142-WACZW
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,7901-HXJVA
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,5649-ANRML
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,4892-VLANZ
 Month-to-month  ,Yes,Electronic check,Yes,Monthly,No,No,5924-IFQTT
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,ORPH-f5091683
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,2919-HBCJO
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,4236-XPXAV
Month-to-month,No,Electronic check,Yes,Monthly,No,No,8903-WMRNW
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,Yes,2452-SNHFZ
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,3629-WEAAM
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,6029-CSMJE
MONTH-TO-MONTH ,No,Mailed check,No,Monthly,No,Yes,7993-NQLJE
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,9909-DFRJA
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,9099-FTUHS
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,0581-BXBUB
One year,No,,No,Monthly,No,Yes,4962-CHQPW
Month-to-month,No,Mailed check,Yes,Monthly,No,No,9467-ROOLM
Month-to-month,No,Mailed check,No,Monthly,No,,UNK-5a306396
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,7410-KTVFV
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,5150-ITWWB
Two year,No,Bank transfer (automatic),Yes,Monthly,No,Yes, 2253-KPMNB  
One year,No,Mailed check,No,Monthly,No,Yes,1345-ZUKID
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,6429-SHBCB
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,9281-OFDMF
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,2603-HVKCG
One year,No,Mailed check,Yes,Monthly,Yes,Yes,1834-WULEG
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,9097-ZUBYC
Two year,Yes,Mailed check,No,Quarter,No,Yes,5148-ORICT
One year,Yes,Mailed check,Yes,Monthly,Yes,No,4893-GYUJU
One year,Yes,Electronic check,No,Monthly,Yes,Yes,4578-PHJYZ
One year,No,Electronic check,Yes,Monthly,No,Yes,7272-QDCKA
Two year,Yes,Credit card (automatic),No,Quarter,Yes,Yes,8908-SLFCJ
Month-to-month,Yes,Electronic check,No,Monthly,Yes,No,8393-DLHGA
One year,No,Mailed check,No,Monthly,Yes,Yes,9766-HGEDE
One year,Yes,Credit card (automatic),No,Quarter, Yes  ,Yes,6968-MHOMU
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7395-IGJOS
Two year,No,,No,Quarter,Yes,Yes,5044-XDPYX
Two year,No,Mailed check,Yes,Monthly,No,Yes,1814-WFGVS
Month-to-month,No,Electronic check,No,Monthly,Yes,Yes,2834-SPCJV
Two year,Yes,Mailed check,No,Monthly,No,Yes,3721-WKIIL
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,6734-CKRSM
Two year,Yes,Mailed check,Yes,Monthly,Yes,Yes,1265-ZFOSD
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,6568-POCUI
Month-to-month,Yes,Mailed check,Yes,Monthly,,No,ORPH-10afb938
Two year,Yes,Credit card (automatic),Yes,Monthly,No,Yes,5197-LQXXH
Month-to-month,No, Mailed check  ,No,Monthly,Yes,Yes,9907-SWKKF
Two year,No,Credit card (automatic),No,Monthly,Yes,Yes,3457-PQBYH
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,ORPH-cd5aa7d5
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,0587-DMGBH
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,5384-ZTTWP
Two year,No,Bank transfer (automatic),No,,Yes,Yes,3745-HRPHI
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,No,ORPH-a4d8cc98
Two year,Yes,Bank transfer (automatic), No  ,Monthly,Yes,Yes,1231-YNDEK
Two year,No,Mailed check,No,Monthly,No,Yes,1407-DIGZV
Month-to-month,No,Credit card (automatic),Yes,Monthly,No,No,6397-JNZZG
Month-to-month,No,Electronic check,Yes,Monthly,No,No,0570-BFQHT
One year,No,Mailed check, No  ,Annual,Yes,No,4393-OBCRR
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,3523-QRQLL
One year,Yes,credit card (automatic),No,Monthly,Yes,Yes,8564-LDKFL
Two year,No,Bank transfer (automatic),no,Monthly,Yes,No,3696-DFHHB
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,0895-DQHEW
Two year,Yes,Mailed check,Yes,Monthly,Yes,Yes,4717-GHADL
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,5501-TVMGM
Two year,No,Bank transfer (automatic),,Monthly,Yes,Yes,5879-HMFFH
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,6772-WFQRD
Two year,Yes,Bank transfer (automatic),No,Semiann,Yes,Yes,3810-DVDQQ
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,6972-SNKKW
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,3694-GLTJM
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,8550-XSXUQ
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,8149-RSOUN
One year,No,Mailed check,No,Monthly,No,Yes,9055-MOJJJ
One year,No,Credit card (automatic),Yes,Monthly,No,No,4359-INNWN
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,0585-EGDDA
One year,No,Credit card (automatic),No,Monthly,No,Yes,4032-RMHCI
One year,Yes,Bank transfer (automatic),No,Annual,Yes,Yes,0549-CYCQN
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,3481-JHUZH
Month-to-month,No,Mailed check,,Monthly,Yes,No,7250-EQKIY
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,3594-IVHJZ
One year,No,Credit card (automatic),Yes,,Yes,Yes,6869-FGJJC
Two year,No,Mailed check,No,Monthly,Yes,Yes,3896-ZVNET
,No,Credit card (automatic),Yes,Monthly,Yes,Yes,8205-VSLRB
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,5960-MVTUK
Month-to-month,No,Bank transfer (automatic),No,Monthly,No,No,6817-WTYHE
Month-to-month,No,Credit card (automatic),No,Monthly,No,No,3082-VQXNH
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,ORPH-cc5b4a5e
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,4931-TRZWN
Month-to-month,No,Mailed check,No,Monthly,Yes,No,0750-EKNGL
Month-to-month,Yes,Mailed check,No,Monthly,Yes,No,7669-LCRSD
One year,Yes,Electronic check,Yes,Monthly,Yes,Yes,3567-PQTSO
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,5519-NPHVG
Two year,No,Mailed check,No,Monthly,No,No,8043-PNYSD
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,9938-EKRGF
One year,No,Mailed check,No,Monthly,Yes,Yes,2703-AMTUL
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,0928-JMXNP
Two year,No,Mailed check,No,Monthly,Yes,Yes,8173-RXAYP
One year,No,Credit card (automatic),Yes,Monthly,No,Yes,4825-XJGDM
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,5402-HTOTQ
Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,6734-JDTTV
Two year,No,Credit card (automatic),No,Monthly,Yes,No,7850-THJMU
Month-to-month,Yes,Mailed check,Yes,Monthly, No  ,No,3890-RTCMS
One year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,8849-GYOKR
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,3148-BLQJT
Two year,YES ,Mailed check,Yes,Monthly,No,Yes,3717-FDJFU
Month-to-month,Yes,Electronic check,No,Monthly,Yes,No,3665-JATSN
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,7966-YOTQW
Month-to-month,No,Electronic check,Yes,Monthly, No  ,Yes,0461-CVKMU
Month-to-month,No,Mailed check,Yes,Monthly,No,No,8806-EAGWC
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,8853-TZDGH
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7779-LGOVN
Month-to-month,Yes,Mailed check,No,Monthly,No,Yes,4324-BZCKL
One year,Yes,Mailed check,Yes,Monthly, Yes  ,Yes,6924-TDGMT
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,9710-ZUSHQ
One year,Yes,Mailed check,Yes,Monthly,Yes,Yes,1536-YHDOE
Month-to-month,Yes,Credit card (automatic),No,Monthly,Yes,Yes,8123-QBNAZ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,ORPH-99e11493
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,
One year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7711-YIJWC
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,5482-VXSXJ
Month-to-month,Yes,Electronic check,Yes,,Yes,Yes,7365-BVCJH
Month-to-month,No,Credit card (automatic),Yes,Monthly,No,Yes,9620-ENEJV
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,4183-WCSEP
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,2378-YIZKA
Month-to-month,No,Electronic check,Yes,Monthly,No,,5498-TXHLF
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,Yes,0689-DSXGL
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,6818-DJXAA
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9722-UJOJR
Two year,No,Bank transfer (automatic),No,Monthly,No,Yes,0464-WJTKO
One year,No,Mailed check,No,Quarter,Yes,No,8902-ZEOVF
One year,No,Mailed check,No,Monthly,Yes,Yes,6778-EICRF
One year,No,Credit card (automatic),No,Quarter,No,Yes,2662-NNTDK
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,4132-KALRO
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,3902-FOIGH
Month-to-month,Yes,Electronic check,Yes,Monthly,YES ,Yes,6772-KSATR
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,7112-OPOTK
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,2874-YXVVA
Two year,No,Mailed check,No,Monthly,No,Yes,1245-HARPS
Month-to-month,Yes,Electronic check, Yes  ,Monthly,Yes,No,4210-QFJMF
One year,No,Mailed check,Yes,Quarter,No,Yes,4323-ELYYB
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,4293-ETKAP
One year,No,Credit card (automatic),No,Annual,Yes,Yes,6064-PUPMC
Two year,No,Electronic check,Yes,Semiann,Yes,Yes,6504-VBLFL
Two year,Yes,Electronic check,No,Monthly,Yes,Yes,6322-PJJDJ
One year,No,ELECTRONIC CHECK ,Yes,Quarter,Yes,Yes,0330-BGYZE
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,1085-LDWAM
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,7586-ZATGZ
Two year,Yes,Credit card (automatic),No,Semiann,Yes,Yes,7197-VOJMM
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,3318-OSATS
One year,Yes,Electronic check,No,Monthly,Yes,Yes,5828-AVIPD
Two year,No, Mailed check  ,No,Monthly,No,No,1843-TLSGD
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,,9626-VFRGG
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,7075-BNDVQ
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,9143-CANJF
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,7284-BUYEC
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,2041-JIJCI
,Yes,,Yes,Monthly,No,Yes,1086-LXKFY
Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,4900-MSOMT
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,no,Yes,2229-VWQJH
Two year,No,Credit card (automatic),No,Semiann,Yes,Yes,9194-GFVOI
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,1336-EZFZY
One year,Yes,Credit card (automatic),Yes, Semiann  ,Yes,Yes,4282-MSACW
One year,No,Mailed check,Yes,Monthly,No,Yes,1403-LKLIK
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,2636-ALXXZ
One year,Yes,Electronic check,Yes,Monthly,Yes,Yes,7774-OJSXI
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,,No,UNK-48251108
Two year,Yes,Electronic check,No,Monthly,No,Yes,0136-IFMYD
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,5144-TVGLP
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,9643-AVVWI
Two year,No,Electronic check,No,Monthly,Yes,Yes,0253-ZTEOB
Two year,No,Mailed check,No,Annual,Yes,,2706-QZIHY
One year,No,Credit card (automatic),No,Monthly,No,Yes,6061-PQHMK
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,9885-CSMWE
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,6137-MFAJN
Month-to-month,No,Mailed check,Yes,Monthly,No,No,9122-UMROB
Month-to-month,No,Electronic check,Yes,Monthly,wes,No,4232-JGKIY
One year,No,Electronic check,No,Monthly,Yes,Yes,2402-TAIRZ
