PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,customerID
Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3882-IYOIJ
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,8749-TZYEC
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,No,1755-FZQEC
Yes,No,Fiber optic,Yes,No, Yes  ,No,No,No,Yes,Yes,Yes,Yes,3115-JPJDD
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,5600-KTXFM
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,No,No,3871-IKPYH
Yes,No,dsl,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6319-IEJWJ
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes, 9025-AOMKI  
Yes,Yes,Fiber optic,No,No, Yes  ,Yes,No,No,Yes,No,Yes,No,6339-TBELP
Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,7964-YESJC
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,6173-GOLSU
Yes,No,Fiber optic,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,5275-SQEIZ
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,No,No,7716-YTYHG
Yes,Yes,DSL,No,No,No,Yes,No,Yes,Yes,No,No,Yes,9938-ZREHM
No,No phone service,,No,Yes,Yes,No,No,No,No,No,Yes,Yes,7950-XWOVN
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,4390-KYULV
Yes,No,Fiber optic,No,No,Yes,No,Yes,,Yes,No,No,No,4647-MUZON
Yes,No,DSL,No,No,No,No,No,No,Yes,No,Yes,No,9702-AIUJO
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8849-PRIQJ
Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,No,No,No,No,8851-RAGOV
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,1304-NECVQ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,ORPH-0b5795a1
No,No phone service,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,1729-VLAZJ
Yes,No,No,YES ,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,8285-ABVLB
Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,0701-TJSEF
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,5712-VBOXD
Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,No,6629-LADHQ
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,8945-GRKHX
No,No phone service,DSL,No,No,No,No,No,No,No,Yes,Yes,No,1559-DTODC
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,4797-MIWUM
Yes,No,DSL,No,No,No Znternet service,No,No,No,Yes,Yes,No,Yes,6959-UWKHF
Yes,No,DSL,No,,No,No,No,No,No,Yes,No,No,8720-RQSBJ
Yes,No,No,No internet service,No internet service, No internet service  ,No internet service,No internet service,No internet service,Yes,Yes,No,No,4537-CIBHB
No,No phone service,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,No,3815-SLMEF
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5154-VEKBL
Yes,No,DSL,Yes,No,Yes,No,No,No,No,No,No,Yes,4324-AHJKS
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,4355-CVPVS
Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Yes,No,No,4495-LHSSK
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,No,5655-JSMZM
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5915-ANOEI
Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9861-PDSZP
Yes,No,Fiber optic,,No,Yes,No,No,No,no,No,No,Yes,4505-EXZHB
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,7225-CBZPL
No,No phone service,DSL,No,No,No,No,Yes,Yes,No,Yes,No,No,6704-UTUKK
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,4587-VVTOX
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,,Yes,Yes,Yes,No,2019-HDCZY
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,Yes,4652-NNHNY
Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,8788-DOXSU
Yes,No,DSL,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,7404-JLKQG
No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,7421-ZLUPA
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,Yes,Yes,8972-HJWNV
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,3274-NSDWE
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2632-IVXVF
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,3692-JHONH
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8915-NNTRC
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,7463-IFMQU
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,No,2920-RNCEZ
Yes,No,DSL,Yes,No,No,Yes,No,Yes,No,No,Yes,No,2541-YGPKE
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,8515-OCTJS
Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Yes,5382-TEMLV
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3441-CGZJH
Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9592-ERDKV
Yes,Yes,Fiber optic,No,No,No,No,No, Yes  ,Yes,No,Yes,Yes,2860-RANUS
No,No phone service,DSL,,No,No,No,No,No,,Yes,No,No,5261-QSHQM
Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4778-IZARL
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,No,Yes,No,No,0432-CAJZV
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,7008-LZVOZ
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8868-WOZGU
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,Yes,Yes,Yes,1200-TUZHR
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No, No  ,Yes,No,9365-CSLBQ
No,No phone service,DSL,No,,No,No,No,No,No,No,Yes,No,
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,5884-FBCTL
Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,No,Yes,7130-CTCUS
Yes,Yes,Fiber optic,Yes,Yes,Yes,,No,No,Yes,Yes,Yes,Yes,6242-FEGFD
Yes,Yes,Fiber optic,No,No,No,No,No,No,No,Yes,No,Yes,7625-XCQRH
Yes,Yes,DSL,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6194-HBGQN
No,No phone service,DSL,Yes,No,No,No,No,Yes,Yes,No,No,No,7634-WSWDB
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6986-IXNDM
Yes,Yes,Fiber optic, No  ,Yes, No  ,Yes,No,Yes,Yes,Yes,No,Yes,ORPH-adbda35c
Yes,Yes,DSL,Yes,Yes,Yes,No,Yes, Yes  ,Yes,Yes,No,Yes,2987-BJXIK
Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,9769-TSBZE
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,0406-BPDVR
Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,0618-XWMSS
Yes, No  ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,1395-WSWXR
Yes,No phonQ service,DSL,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,6023-GSSXW
Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,6752-APNJL
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,No,5276-KQWHG
Yes,Yes,Fiber optic,No,No,Yes,Ygs,Yes,Yes,Yes,No,No,Yes,0420-HLGXF
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7446-KQISO
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,9823-EALYC
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,0582-AVCLN
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,5803-NQJZO
,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,2565-JSLRY
Yes,No,No,No internet service, No internet service  ,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,2607-DHDAK
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,1073-XXCZD
No,No phone service,DSL,No,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0743-HRVFF
Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,4006-HKYHO
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,3727-JEZTU
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,8143-ETQTI
Yes,No,DSL,No,Yes,No,No,No,No,Yes,Yes,No,Yes,6689-KXGBO
Yes,Yes,DSL,No,No,No,Yes,No,No,No,Yes,Yes,No,9667-TKTVZ
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,3657-COGMW
Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,No,8570-KLJYJ
Yes,No,DSL,,No,No,No,No,No,Yes,Yes,No,No,7754-IXRMC
Yes,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,9473-CBZOP
Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,2969-WGHQO
Yes,Yes, Fiber optic  ,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,6615-NGGZJ
No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4334-HOWRP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,4255-DDUOU
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,Yes,5863-OOKCL
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Yes,Yes,Yes,Yes,1686-STUHN
No,No phone service,DSL,No,No,No,No,No,No,No,No,No,Yes,1329-VHWNP
Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,No,No,No,2984-MIIZL
Yes,Yes,Fiber optic,Yes,,Yes,No,Yes,Yes,YES ,Yes,Yes,Yes,0266-GMEAO
No,No phone service,DSL,No,No,No, No  ,No,No,No,Yes,No,Yes,5590-YRFJT
Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5574-NXZIU
No,no,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,0019-GFNTW
Yes,No,DSL,No,No,No,Yes,No,No,No,Yes,No,Yes,4256-ZWTZI
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8309-PPCED
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4098-NAUKP
Yes,No,DSL,,Yes,No,Yes,No,No,Yes,No,No,Yes,5196-WPYOW
Yes,No,DSL,No,No,No,No,No,No,No,No,No,Yes,4608-LCIMN
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,1485-YDHMM
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,4054-CUMIA
Yes,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,0603-TPMIB
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,no internet service,Yes,No,No,No,2525-GVKQU
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,No,Yes,8161-QYMTT
No,No phone service,DSL,Yes,No,Yes,No,,No,Yes,Yes,Yes,Yes,9581-GVBXT
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5862-BRIXZ
Yes,No,DSL,No,Yes,No,No,No,No,Yes,Yes,No,Yes,5404-GGUKR
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes, No  ,Yes,No,ORPH-4ed4891d
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2126-GSEGL
Yes,No,Fiber optic,No,No,No,No,No,No,No,Yes,No,Yes,3677-TNKIO
Yes,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Yes,No,0440-QEXBZ
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,No,No,No,Yes,2434-EEVDB
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,6762-QVYJO
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,6199-IWKGC
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,2675-DHUTR
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,ORPH-6dc7d2ec
No,No phone service,DSL,No,No,Yes,No,Yes,No,Yes,No,No,Yes,9667-EQRXU
Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,No,No,7446-YPODE
No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,9522-BNTHX
No,No phone service,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,4676-WLUHT
No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3329-WDIOK
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No, 7980-MHFLQ  
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,2873-ZLIWT
Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,3415-TAILE
Yes,NO PHONE SERVICE ,DSL,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,0757-WCUUZ
Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,No,1629-DQQVB
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,No,1915-IOFGU
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,3045-XETSH
Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,No,No,0374-AACSZ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,No,Yes,Yes,No,7239-HZZCX
Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,,Yes,Yes,Yes,4872-VXRIL
Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,9140-CZQZZ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,3423-HHXAO
Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,9938-TKDGL
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,No,No,0531-ZZJWQ
No,No phone service,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,No,6537-QLGEX
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,Yes,2688-BHGOG
Yes,No,DSL,Yes,Yes,No,No,,No,Yes,Yes,Yes,Yes,7683-CBDKJ
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0946-CLJTI
No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,3160-TYXLT
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes, 1325-USMEC  
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,0916-QOFDP
Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0628-CNQRM
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,5606-AMZBO
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,6199-IPCAO
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,7665-TOALD
, Yes  ,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0112-QWPNC
Yes,,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0324-BRPCJ
Yes,No,Fiber optic,No,No,No, No  ,Yes,No,Yes,No,Yes,Yes, 2777-PHDEI  
No,No phone service,DSL,No,No,No,Yes,No,Yes,No,Yes,Yes,No,5640-CAXOA
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,2235-EZAIK
Yes,No, No  ,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,3847-BAERP
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,No,1196-AMORA
 Yes  ,Yes,,No,No,No,No,No,No,No,No,Yes,Yes,4282-YMKNA
Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,No,1453-RZFON
Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,8263-OKETD
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,0670-KDOMA
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,Yes,2476-YGEFM
Yes,No,Fiber optic,No,No,No,Yes,No,No,Yes,No,No,Yes,8687-BAFGU
Yes,No,Fiber optic,Yes,No,No,Yes,No,,Yes,Yes,No,No,0641-EVBOJ
Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,No,No,No,0829-XXPLX
,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9974-JFBHQ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,No,5356-RHIPP
No,No phone service,DSL,Yes,No,No,No,No,No,Yes,No,Yes,No,6624-JDRDS
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,0608-JDVEC
Yes,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,9780-FKVVF
Yes,No,DSL,No,No,No,No,No,No,Yes,No,No,No,1919-RTPQD
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5214-NLTIT
Yes,No,DSL,No,Yes,No,No,No,No,Yes,Yes,No,Yes,3345-PBBFH
Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5055-BRMNE
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,No,9189-JWSHV
Yes,Yes,,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2190-PHBHR
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,2650-GYRYL
No,No phone service,DSL,No,No,No,No,No,No,Yes,Yes,No,No,0746-JTRFU
Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,5208-FVQKB
Yes,No,DSL,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,7184-LRUUR
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes, No  ,No,No,6627-CFOSN
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,3982-JGSFD
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,No,No,No,1574-DYCWE
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,7247-XOZPB
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,2466-FCCPT
Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,6211-WWLTF
Yes,No,Fiber optic,No,Yes,No,No,No,No,No,Yes,No,Yes,4826-TZEVA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,6016-NXBNJ
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,No,9138-EFSMO
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,0576-WNXXC
Yes,No,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,4632-XJMEX
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,Yes,8910-LEDAG
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,3452-GWUIN
Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,2716-GFZOR
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,YES ,No,Yes,No,No,3724-UCSHY
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,8626-XHBIE
No,No phone service,DSL,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,4628-CTTLA
Yes,No,Fiber optic,No,No,Yes,No,Yes,No,No,Yes,No,No,3192-LNKRK
No,No phone service,DSL,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,4439-YRNVD
Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No, No  ,2876-VBBBL
No,No phone service,DSL,No,No,No,No,No,No,No,No,No,No,6834-NXDCA
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,2208-UGTGR
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes, No  ,Yes,Yes,Yes,3005-TYFRD
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8670-MEFCP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,3079-BCHLN
Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,No,ORPH-1a99cf87
,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,5597-GLBUC
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,yes,Yes,Yes,Yes,7278-CKDNC
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,2748-MYRVK
No,No phone service,DSL,No,No,Yes,No,Yes,No,No,No,No,No,8450-UYIBU
Yes,No,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,2969-VAPYH
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,4822-YCXMX
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,7181-OQCUT
Yes,No,DSL,Yes,Yes,No,,No,Yes,Yes,Yes,No,No,8474-UMLNT
Yes,NO ,Fiber optic,No,No,No,No,No,No,Yes,No,,Yes,9821-POOTN
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,3836-FZSDJ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,9142-XMYJH
No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,6559-ILWKJ
Yes,No,Fiber optic,No,No,No,No,Yes, Yes  ,Yes,Yes,No,Yes,0187-QSXOE
No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,7733-UDMTP
Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2649-HWLYB
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,No,Yes,No,5214-CHIWJ
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,4229-CZMLL
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6904-JLBGY
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,2465-BLLEU
Yes,No,DSL,No,No,No,No,No,No,Yes,No,No,No,1685-VAYJF
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,8874-EJNSR
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,6917-YACBP
Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,ORPH-1f33b168
Yes,No,DSL,No,No,Yes,No,No,No,No,Yes,No,Yes,4223-WOZCM
No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0769-MURVM
Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes, Yes  ,No,Yes,9253-VIFJQ
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7030-FZTFM
Yes,Yes,Fiber optic,No,No,no,Yes,No,Yes,Yes,Yes,No,Yes,9741-YLNTD
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,5917-RYRMG
Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,5120-ZBLAI
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1194-BHJYC
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,3663-MITLP
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0906-QVPMS
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,9025-ZRPVR
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,1905-OEILC
